Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007.0,Misc,Majesco Entertainment,0.87,0.32,0.0,0.02,1.21
2224,Bentley's Hackpack,GBA,2005.0,Misc,The Game Factory,0.67,0.25,0.0,0.02,0.93
3161,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco Entertainment,0.46,0.17,0.0,0.01,0.64
3168,SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco Entertainment,0.46,0.17,0.0,0.01,0.64
3768,SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco Entertainment,0.38,0.14,0.0,0.01,0.53
4528,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco Entertainment,0.31,0.11,0.0,0.01,0.43
4637,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco Entertainment,0.3,0.11,0.0,0.01,0.42
5649,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,Majesco Entertainment,0.23,0.08,0.0,0.01,0.32
6439,Sonic X: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco Entertainment,0.19,0.07,0.0,0.0,0.27
6564,Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Nickelodeon,0.18,0.07,0.0,0.0,0.26
6650,Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco Entertainment,0.18,0.07,0.0,0.0,0.25
6851,All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Nickelodeon,0.17,0.06,0.0,0.0,0.24
7210,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco Entertainment,0.16,0.06,0.0,0.0,0.22
7472,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,Majesco Entertainment,0.15,0.05,0.0,0.0,0.21
7955,Thomas the Tank Engine & Friends,GBA,2004.0,Adventure,THQ,0.13,0.05,0.0,0.0,0.19
8332,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Atari,0.12,0.05,0.0,0.0,0.17
8343,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Cartoon Network,0.12,0.05,0.0,0.0,0.17
8370,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Konami,0.12,0.04,0.0,0.0,0.17
8505,Stronghold 3,PC,2011.0,Strategy,Firefly Studios,0.06,0.1,0.0,0.0,0.16
8772,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005.0,Misc,Majesco Entertainment,0.11,0.04,0.0,0.0,0.15
8850,Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.11,0.04,0.0,0.0,0.15
8898,Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,The Game Factory,0.11,0.04,0.0,0.0,0.15
9519,Farming Simulator 2011,PC,2010.0,Simulation,Focus Home Interactive,0.0,0.13,0.0,0.0,0.13
10384,Disney Channel Collection Vol. 1,GBA,2004.0,Misc,Disney Interactive,0.08,0.03,0.0,0.0,0.11
11528,Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco Entertainment,0.06,0.02,0.0,0.0,0.08
14314,Silverlicious,DS,2012.0,Action,GameMill Entertainment,0.03,0.0,0.0,0.0,0.03
14701,UK Truck Simulator,PC,2010.0,Simulation,Excalibur Publishing,0.0,0.03,0.0,0.0,0.03
15059,Xia-Xia,DS,2012.0,Platform,Activision,0.0,0.02,0.0,0.0,0.02
15328,Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005.0,Misc,Majesco Entertainment,0.01,0.01,0.0,0.0,0.02
15356,Demolition Company: Gold Edition,PC,2011.0,Simulation,astragon Entertainment,0.0,0.02,0.0,0.0,0.02
15791,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016.0,Adventure,Kadokawa Games,0.0,0.0,0.02,0.0,0.02
16211,Super Robot Monkey Team: Game Boy Advance Video Volume 1,GBA,2005.0,Misc,Majesco Entertainment,0.01,0.0,0.0,0.0,0.01
16370,Dance with Devils,PSV,2016.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
16497,Legends of Oz: Dorothy's Return,3DS,2014.0,Puzzle,GameMill Entertainment,0.0,0.01,0.0,0.0,0.01
16546,Driving Simulator 2011,PC,2011.0,Racing,Excalibur Publishing,0.0,0.01,0.0,0.0,0.01
16556,Bound By Flame,X360,2014.0,Role-Playing,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01
