Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
942,Gran Turismo Concept 2001 Tokyo,PS2,2001.0,Racing,Unknown,0.0,1.1,0.42,0.33,1.84
2238,Teenage Mutant Ninja Turtles,GBA,2003.0,Action,Unknown,0.67,0.25,0.0,0.02,0.93
2330,Blitz: The League,PS2,2005.0,Sports,Unknown,0.74,0.03,0.0,0.12,0.89
2493,The Game of Life,PS,1998.0,Misc,Unknown,0.46,0.31,0.0,0.05,0.83
2546,Final Fantasy Type-0,PSP,2011.0,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81
2831,God Eater,PSP,2010.0,Action,Unknown,0.0,0.0,0.72,0.0,0.72
3032,RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67
3704,Two Worlds II,X360,2011.0,Role-Playing,Unknown,0.4,0.08,0.03,0.04,0.54
4123,Two Worlds II,PS3,2011.0,Role-Playing,Unknown,0.26,0.11,0.06,0.05,0.48
6023,Fast Food,2600,1981.0,Action,Unknown,0.27,0.02,0.0,0.0,0.29
6278,M&M's Blast!,GBA,2001.0,Puzzle,Unknown,0.2,0.07,0.0,0.0,0.27
6409,Ultimate NES Remix,3DS,2014.0,Action,Unknown,0.15,0.09,0.0,0.02,0.27
7255,Yoostar2,X360,2011.0,Misc,Unknown,0.11,0.09,0.0,0.02,0.22
7316,Afrika,PS3,2008.0,Adventure,Unknown,0.12,0.0,0.08,0.01,0.21
7374,Now! That's What I Call Music: Dance & Sing,Wii,2011.0,Misc,Unknown,0.0,0.18,0.0,0.04,0.21
7523,Two Worlds II,PC,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.03,0.2
7938,Chibi-Robo! Park Patrol,DS,2007.0,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19
8138,Heavy Fire: Afghanistan,PS3,2011.0,Shooter,Unknown,0.17,0.0,0.0,0.01,0.18
8507,Kid Adventures: Sky Captain,Wii,2010.0,Action,Unknown,0.11,0.04,0.0,0.01,0.16
8827,Kids Learn Math: A+ Edition,DS,2011.0,Misc,Unknown,0.14,0.0,0.0,0.01,0.15
8846,Terraria,PC,2011.0,Action,Unknown,0.0,0.13,0.0,0.02,0.15
8977,Black * Rock Shooter: The Game,PSP,2011.0,Role-Playing,Unknown,0.0,0.0,0.15,0.0,0.15
9204,Barbie Explorer,PS,2001.0,Platform,Unknown,0.08,0.05,0.0,0.01,0.14
9207,Power Gig: Rise of the SixString,PS3,2010.0,Misc,Unknown,0.13,0.0,0.0,0.01,0.14
9884,Power Gig: Rise of the SixString,X360,2010.0,Misc,Unknown,0.11,0.0,0.0,0.01,0.12
9999,Mystery P.I. - Portrait of a Thief,DS,2008.0,Adventure,Unknown,0.11,0.0,0.0,0.01,0.11
10196,Yoostar2,PS3,2011.0,Misc,Unknown,0.04,0.05,0.0,0.02,0.11
10244,AKB48+Me,3DS,2012.0,Action,Unknown,0.0,0.0,0.11,0.0,0.11
10359,Saigo no Yakusoku no Monogatari,PSP,2011.0,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11
10556,Baten Kaitos Origins,GC,2006.0,Role-Playing,Unknown,0.06,0.02,0.02,0.0,0.1
10735,Persona 5,PS3,2016.0,Role-Playing,Unknown,0.0,0.0,0.1,0.0,0.1
11109,Thomas & Friends: Hero of the Rails,DS,2010.0,Misc,Unknown,0.0,0.07,0.0,0.01,0.09
11277,Martian Panic,Wii,2010.0,Adventure,Unknown,0.08,0.0,0.0,0.0,0.08
11602,The Golf Club,PS4,2014.0,Sports,Unknown,0.05,0.02,0.0,0.01,0.08
11891,Speed,Wii,2010.0,Racing,Unknown,0.04,0.02,0.0,0.01,0.07
12029,Alpha and Omega,DS,2010.0,Action,Unknown,0.06,0.0,0.0,0.0,0.07
12061,Fairy Tail: Zelef Kakusei,PSP,2012.0,Action,Unknown,0.0,0.0,0.07,0.0,0.07
12214,National Geographic Challenge!,X360,2011.0,Misc,Unknown,0.06,0.0,0.0,0.0,0.07
